id,titulo,descricao,preco_original,preco_promocional,desconto_percentual,link_afiliado,imagens_base64,categoria_principal,nichos,plataforma,avaliacao,vendas,data_inicio_promocao,data_fim_promocao,data_publicacao,status
sample1,"Fone de Ouvido Bluetooth 5.0 com Cancelamento de Ruído","Fone de ouvido sem fio com bateria de 20 horas, resistente à água IPX7 e microfone embutido para chamadas.",199.90,99.90,50,"https://shopee.com.br/produto/exemplo1","data:image/svg+xml;base64,PHN2ZyB3aWR0aD0iMzAwIiBoZWlnaHQ9IjMwMCIgeG1sbnM9Imh0dHA6Ly93d3cudzMub3JnLzIwMDAvc3ZnIj4KPHJlY3Qgd2lkdGg9IjEwMCUiIGhlaWdodD0iMTAwJSIgZmlsbD0iI2RkZCIvPgo8dGV4dCB4PSI1MCUiIHk9IjUwJSIgZm9udC1mYW1pbHk9IkFyaWFsIiBmb250LXNpemU9IjE0IiBmaWxsPSIjOTk5IiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBkeT0iLjNlbSI+CkZvbmUgQmx1ZXRvb3RoCjwvdGV4dD4KPHN2Zz4=","Eletrônicos","ofertas relampago,novidades","Shopee",4.8,1500,"2025-01-20T22:00:00Z","2025-01-21T06:00:00Z","2025-01-21T10:00:00Z","published"
sample2,"Smartwatch Fitness com Monitor Cardíaco","Relógio inteligente com monitoramento de saúde 24/7, GPS integrado e resistência à água.",299.90,149.90,50,"https://amazon.com.br/produto/exemplo2","data:image/svg+xml;base64,PHN2ZyB3aWR0aD0iMzAwIiBoZWlnaHQ9IjMwMCIgeG1sbnM9Imh0dHA6Ly93d3cudzMub3JnLzIwMDAvc3ZnIj4KPHJlY3Qgd2lkdGg9IjEwMCUiIGhlaWdodD0iMTAwJSIgZmlsbD0iI2RkZCIvPgo8dGV4dCB4PSI1MCUiIHk9IjUwJSIgZm9udC1mYW1pbHk9IkFyaWFsIiBmb250LXNpemU9IjE0IiBmaWxsPSIjOTk5IiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBkeT0iLjNlbSI+ClNtYXJ0d2F0Y2gKPC90ZXh0Pgo8L3N2Zz4=","Eletrônicos","mais vendidos","Amazon",4.5,800,"2025-01-20T22:00:00Z","2025-01-22T06:00:00Z","2025-01-21T10:00:00Z","published"
sample3,"Carregador Portátil 20000mAh Fast Charge","Power bank de alta capacidade com carregamento rápido e múltiplas portas USB.",89.90,44.90,50,"https://aliexpress.com/produto/exemplo3","data:image/svg+xml;base64,PHN2ZyB3aWR0aD0iMzAwIiBoZWlnaHQ9IjMwMCIgeG1sbnM9Imh0dHA6Ly93d3cudzMub3JnLzIwMDAvc3ZnIj4KPHJlY3Qgd2lkdGg9IjEwMCUiIGhlaWdodD0iMTAwJSIgZmlsbD0iI2RkZCIvPgo8dGV4dCB4PSI1MCUiIHk9IjUwJSIgZm9udC1mYW1pbHk9IkFyaWFsIiBmb250LXNpemU9IjE0IiBmaWxsPSIjOTk5IiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBkeT0iLjNlbSI+CkNhcnJlZ2Fkb3IKPC90ZXh0Pgo8L3N2Zz4=","Eletrônicos","ofertas relampago","AliExpress",4.3,2200,"2025-01-20T22:00:00Z","2025-01-21T06:00:00Z","2025-01-21T10:00:00Z","published"
sample4,"Camiseta Básica 100% Algodão","Camiseta confortável e versátil, disponível em várias cores e tamanhos.",39.90,19.90,50,"https://magazineluiza.com.br/produto/exemplo4","data:image/svg+xml;base64,PHN2ZyB3aWR0aD0iMzAwIiBoZWlnaHQ9IjMwMCIgeG1sbnM9Imh0dHA6Ly93d3cudzMub3JnLzIwMDAvc3ZnIj4KPHJlY3Qgd2lkdGg9IjEwMCUiIGhlaWdodD0iMTAwJSIgZmlsbD0iI2RkZCIvPgo8dGV4dCB4PSI1MCUiIHk9IjUwJSIgZm9udC1mYW1pbHk9IkFyaWFsIiBmb250LXNpemU9IjE0IiBmaWxsPSIjOTk5IiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBkeT0iLjNlbSI+CkNhbWlzZXRhCjwvdGV4dD4KPHN2Zz4=","Moda","novidades","Magazine Luiza",4.2,500,"2025-01-20T22:00:00Z","2025-01-23T06:00:00Z","2025-01-21T10:00:00Z","published"
sample5,"Luminária LED Inteligente RGB","Luminária com controle por aplicativo, milhões de cores e sincronização com música.",129.90,64.90,50,"https://temu.com/produto/exemplo5","data:image/svg+xml;base64,PHN2ZyB3aWR0aD0iMzAwIiBoZWlnaHQ9IjMwMCIgeG1sbnM9Imh0dHA6Ly93d3cudzMub3JnLzIwMDAvc3ZnIj4KPHJlY3Qgd2lkdGg9IjEwMCUiIGhlaWdodD0iMTAwJSIgZmlsbD0iI2RkZCIvPgo8dGV4dCB4PSI1MCUiIHk9IjUwJSIgZm9udC1mYW1pbHk9IkFyaWFsIiBmb250LXNpemU9IjE0IiBmaWxsPSIjOTk5IiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBkeT0iLjNlbSI+Ckx1bWluYXJpYSBMRUQKPC90ZXh0Pgo8L3N2Zz4=","Casa e Decoração","mais vendidos,novidades","TEMU",4.6,1200,"2025-01-20T22:00:00Z","2025-01-24T06:00:00Z","2025-01-21T10:00:00Z","published"
sample6,"Mouse Gamer RGB 12000 DPI","Mouse para jogos com sensor óptico de alta precisão, 7 botões programáveis e iluminação RGB.",159.90,79.90,50,"https://shopee.com.br/produto/exemplo6","data:image/svg+xml;base64,PHN2ZyB3aWR0aD0iMzAwIiBoZWlnaHQ9IjMwMCIgeG1sbnM9Imh0dHA6Ly93d3cudzMub3JnLzIwMDAvc3ZnIj4KPHJlY3Qgd2lkdGg9IjEwMCUiIGhlaWdodD0iMTAwJSIgZmlsbD0iI2RkZCIvPgo8dGV4dCB4PSI1MCUiIHk9IjUwJSIgZm9udC1mYW1pbHk9IkFyaWFsIiBmb250LXNpemU9IjE0IiBmaWxsPSIjOTk5IiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBkeT0iLjNlbSI+Ck1vdXNlIEdhbWVyCjwvdGV4dD4KPHN2Zz4=","Eletrônicos","ofertas relampago,mais vendidos","Shopee",4.7,950,"2025-01-20T22:00:00Z","2025-01-21T06:00:00Z","2025-01-21T10:00:00Z","published"
sample7,"Tênis Esportivo Masculino","Tênis confortável para corrida e caminhada, com tecnologia de amortecimento avançada.",149.90,74.90,50,"https://amazon.com.br/produto/exemplo7","data:image/svg+xml;base64,PHN2ZyB3aWR0aD0iMzAwIiBoZWlnaHQ9IjMwMCIgeG1sbnM9Imh0dHA6Ly93d3cudzMub3JnLzIwMDAvc3ZnIj4KPHJlY3Qgd2lkdGg9IjEwMCUiIGhlaWdodD0iMTAwJSIgZmlsbD0iI2RkZCIvPgo8dGV4dCB4PSI1MCUiIHk9IjUwJSIgZm9udC1mYW1pbHk9IkFyaWFsIiBmb250LXNpemU9IjE0IiBmaWxsPSIjOTk5IiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBkeT0iLjNlbSI+ClTDqm5pcyBFc3BvcnRpdm8KPC90ZXh0Pgo8L3N2Zz4=","Moda","novidades","Amazon",4.4,650,"2025-01-20T22:00:00Z","2025-01-25T06:00:00Z","2025-01-21T10:00:00Z","published"
sample8,"Panela Elétrica Multifuncional","Panela elétrica 5L com múltiplas funções: cozinhar, fritar, assar e refogar.",199.90,99.90,50,"https://magazineluiza.com.br/produto/exemplo8","data:image/svg+xml;base64,PHN2ZyB3aWR0aD0iMzAwIiBoZWlnaHQ9IjMwMCIgeG1sbnM9Imh0dHA6Ly93d3cudzMub3JnLzIwMDAvc3ZnIj4KPHJlY3Qgd2lkdGg9IjEwMCUiIGhlaWdodD0iMTAwJSIgZmlsbD0iI2RkZCIvPgo8dGV4dCB4PSI1MCUiIHk9IjUwJSIgZm9udC1mYW1pbHk9IkFyaWFsIiBmb250LXNpemU9IjE0IiBmaWxsPSIjOTk5IiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBkeT0iLjNlbSI+ClBhbmVsYSBFbMOpdHJpY2EKPC90ZXh0Pgo8L3N2Zz4=","Casa e Decoração","mais vendidos","Magazine Luiza",4.5,1100,"2025-01-20T22:00:00Z","2025-01-22T06:00:00Z","2025-01-21T10:00:00Z","published"
sample9,"Tablet Android 10 Polegadas","Tablet com tela HD, 4GB RAM, 64GB armazenamento e suporte a 4G.",299.90,149.90,50,"https://aliexpress.com/produto/exemplo9","data:image/svg+xml;base64,PHN2ZyB3aWR0aD0iMzAwIiBoZWlnaHQ9IjMwMCIgeG1sbnM9Imh0dHA6Ly93d3cudzMub3JnLzIwMDAvc3ZnIj4KPHJlY3Qgd2lkdGg9IjEwMCUiIGhlaWdodD0iMTAwJSIgZmlsbD0iI2RkZCIvPgo8dGV4dCB4PSI1MCUiIHk9IjUwJSIgZm9udC1mYW1pbHk9IkFyaWFsIiBmb250LXNpemU9IjE0IiBmaWxsPSIjOTk5IiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBkeT0iLjNlbSI+ClRhYmxldCBBbmRyb2lkCjwvdGV4dD4KPHN2Zz4=","Eletrônicos","ofertas relampago","AliExpress",4.1,750,"2025-01-20T22:00:00Z","2025-01-21T06:00:00Z","2025-01-21T10:00:00Z","published"
sample10,"Jaqueta Jeans Feminina","Jaqueta jeans clássica, 100% algodão, disponível em vários tamanhos.",89.90,44.90,50,"https://temu.com/produto/exemplo10","data:image/svg+xml;base64,PHN2ZyB3aWR0aD0iMzAwIiBoZWlnaHQ9IjMwMCIgeG1sbnM9Imh0dHA6Ly93d3cudzMub3JnLzIwMDAvc3ZnIj4KPHJlY3Qgd2lkdGg9IjEwMCUiIGhlaWdodD0iMTAwJSIgZmlsbD0iI2RkZCIvPgo8dGV4dCB4PSI1MCUiIHk9IjUwJSIgZm9udC1mYW1pbHk9IkFyaWFsIiBmb250LXNpemU9IjE0IiBmaWxsPSIjOTk5IiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBkeT0iLjNlbSI+CkphcXVldGEgSmVhbnMKPC90ZXh0Pgo8L3N2Zz4=","Moda","novidades","TEMU",4.3,420,"2025-01-20T22:00:00Z","2025-01-26T06:00:00Z","2025-01-21T10:00:00Z","published"
